device_id,video_url
"D81141699","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81141699_2021-03-20_03-10-51.mp4"
"D81141703","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81141703_2021-03-20_00-14-33.mp4"
"D81141746","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81141746_2021-03-20_00-36-18.mp4"
"D81141752","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81141752_2021-03-20_02-03-10.mp4"
"D81141759","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81141759_2021-03-20_00-15-23.mp4"
"D81141762","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81141762_2021-03-18_23-59-48.mp4"
"D81141763","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81141763_2021-03-20_01-02-00.mp4"
"D81141764","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81141764_2021-03-20_00-14-42.mp4"
"D81141967","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81141967_2021-03-19_23-10-19.mp4"
"D81141980","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81141980_2021-03-19_00-00-33.mp4"
"D81142014","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81142014_2021-03-20_01-32-05.mp4"
"D81142037","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81142037_2021-03-19_09-00-31.mp4"
"D81142096","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81142096_2021-03-20_00-54-16.mp4"
"D81142105","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81142105_2021-03-18_23-03-34.mp4"
"D81142123","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81142123_2021-03-19_10-25-49.mp4"
"D81142126","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81142126_2021-03-20_00-09-04.mp4"
"D81142127","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81142127_2021-03-19_02-07-31.mp4"
"D81142134","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81142134_2021-03-20_05-07-45.mp4"
"D81142152","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81142152_2021-03-20_05-44-34.mp4"
"D81142158","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81142158_2021-03-20_09-19-13.mp4"
"D81142238","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81142238_2021-03-20_00-19-45.mp4"
"D81142241","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81142241_2021-03-20_00-06-28.mp4"
"D81142261","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81142261_2021-03-20_01-06-51.mp4"
"D81142374","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81142374_2021-03-18_23-01-50.mp4"
"D81142403","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81142403_2021-03-20_01-03-58.mp4"
"D81142434","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81142434_2021-03-19_01-51-08.mp4"
"D81142458","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81142458_2021-03-20_00-01-37.mp4"
"D81142566","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81142566_2021-03-20_03-52-45.mp4"
